25.0500	11.3745	3.8236	6.5636	3.4936
38.8822	13.7136	5.8434	11.0484	8.4807
43.9380	6.4536	14.5235	8.6436	14.5139
40.2948	12.7436	10.5136	9.1036	8.1300
15.2732	2.3054	2.1936	6.3336	4.6447
16.9280	2.7136	9.4436	2.2636	2.7136
23.7595	10.2736	3.5936	6.7436	3.3536
42.7756	10.3836	9.8636	10.0636	12.6636
35.2830	13.0729	8.4136	5.4136	8.5836
31.0020	8.0436	9.0036	4.6536	9.5036
38.8394	5.7236	11.1736	9.4939	12.6436
23.6361	3.5836	3.3236	10.4036	6.5336
12.0409	6.7336	1.9447	1.9447	1.6236
16.2223	2.6036	2.1732	9.0531	2.6036
19.9420	3.1936	2.6536	11.1136	3.1936
18.0304	2.8932	2.4036	10.0536	2.8932
35.2007	11.0336	8.0536	11.0936	5.2236
19.1718	10.6836	3.0728	3.0728	2.5536
30.1881	8.5936	4.8036	4.8036	12.1936
11.1278	4.1436	1.6636	3.8836	1.6436
45.0188	13.2736	11.5536	10.5736	9.8179
30.6053	7.5036	4.7036	7.3347	11.2660
29.5841	4.2536	4.3641	9.7339	11.4332
36.9238	9.7459	11.0236	5.5136	10.8429
21.7272	8.7436	3.4736	3.4736	6.2441
28.6294	12.1436	4.5540	4.5540	7.5737
15.6682	8.7436	2.5164	2.5164	2.0942
21.3933	3.4217	5.1536	9.6136	3.4217
21.6760	3.4636	8.4834	6.4736	3.4636
27.8755	8.3234	4.4403	4.4403	10.8734
36.5353	5.5839	12.9036	9.2832	8.9636
44.2384	6.5336	11.4794	12.3036	14.1233
19.0809	8.4750	2.9125	5.2135	2.6883
27.7567	10.6536	9.2136	4.0936	3.9984
43.7411	9.1536	13.5943	9.3533	11.8344
26.5419	10.0836	8.9222	3.9136	3.8336
28.3025	4.2036	11.2816	4.0449	8.9736
14.4196	8.0533	2.3236	2.3236	1.9336
18.8050	3.0136	2.5036	10.4836	3.0136
19.1411	3.0637	10.6665	2.5535	3.0637
35.6516	10.6541	11.6231	5.2619	8.3136
15.0376	2.4220	8.3936	2.0136	2.4220
10.6441	1.7252	5.9537	1.4436	1.7252
17.3720	5.8820	2.7836	2.7836	6.1248
54.7095	16.0136	12.5144	11.0136	15.3544
14.2486	5.8336	4.4136	2.1536	2.0536
33.0663	5.1042	9.6336	11.0848	7.4436
34.3464	4.9336	11.3436	5.0598	13.2136
21.2290	7.3137	3.0859	7.9036	3.1248
19.1543	2.5536	3.0637	3.0637	10.6736
25.3853	11.5751	4.0439	4.0439	5.9156
22.7666	3.4951	10.6536	3.1635	5.6636
